version,caseid,mode,weight_full,registered,ideo,ideoHarris,ideoTrump,ideoDems,ideoReps,pid7,supportVoterID,supportFelonVote,supportTransSports,supportLGJob,supportBirthright,supportWall,attend,age,marital,educ,activeduty,union,race,children,havepassport,gender,transgender,sexualorientation,income,concernedhealthcare,polviolence,polviolchange,watchHannity,watchMaddow,watchSharkTank,watchNCIS,watchAndersonCooper,watch60Minutes,watchMeetThePress,watchPriceIsRight,watchGMA,watchToday,watchSNL,mobilProtest,mobilPetition,mobilDonate,mobilArgue,mobilContact,voted2024,votechoice24,howvoted24,howdifficultvote,harrisFT,trumpFT,DemHouseCandFT,RepHouseCandFT,walzFT,vanceFT,bidenFT,fundamentalistsFT,feministsFT,liberalsFT,unionsFT,bigbusinessFT,conservativesFT,scotusFT,gaylesbianFT,congressFT,muslimsFT,christiansFT,magaFT,jewsFT,policeFT,transFT,blmFT,nraFT,fbiFT,ruralFT,plannedParenthoodFT,houseIncumbent,importImmig,importCost,importClimate,importGuns,importAbortion,democImport,officialsDontCare,noSay,tooComplicated,understandPol,votesCountedFairly,affirmativeAction,vaccinesSchools,greenhouseGas,backgroundChecks,assaultRifles,rural,supportTransMilitary,intpol,preferDemoc,ctAuthority,usDemocracy,trustCongress,trustGovernment,trustJudiciary,trustScientists,trustParties,trustMedia,asianamericanFT,hispanicFT,blacksFT,illegalImmigrantFT,whitesFT,winner2020,state,harris24,trump24,female,dem,independent,gop,hispanic,white,black,aapi
ANES2024TimeSeries_20250808,140012,2,,1,4,3,6,2,6,2,2,4,2,1,6,2,1,59,1,2,3,2,1,0,1,1,2,1,5,1,1,2,,,,,,,,,,,,2,2,2,2,2,1,1,1,1,60,0,,60,70,0,40,50,85,100,70,50,40,40,100,40,0,100,0,50,100,50,0,0,85,100,100,3,2,2,2,2,2,2,2,1,2,3,5,5,1,1,1,1,3,2,4,1,3,5,3,3,3,2,3,3,50,50,50,50,50,2,WI,1,0,0,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140013,2,,2,5,3,6,7,7,5,,4,1,3,2,3,2,34,5,2,3,2,1,1,1,2,2,1,1,1,3,4,,,,,,,,,,,,2,2,2,2,2,0,,3,6,0,100,,,0,85,0,0,0,0,0,0,60,0,50,0,0,0,100,0,50,0,0,50,50,50,50,3,1,1,3,2,3,3,3,2,1,4,2,4,4,4,2,4,1,6,4,3,3,3,4,3,4,4,4,3,50,50,50,50,50,1,OR,,,1,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140014,2,,1,4,2,6,3,7,3,1,1,2,2,5,4,1,42,1,5,3,2,4,2,1,1,2,1,6,1,1,7,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,2,1,1,1,1,70,0,,50,75,30,100,0,60,60,70,30,40,30,50,30,40,15,0,40,0,50,50,0,40,50,55,4,3,2,1,2,2,1,2,1,4,2,2,4,4,1,1,1,5,4,1,3,1,5,3,2,3,2,2,2,60,50,50,50,45,2,VA,1,0,0,1,0,0,0,0,0,1
ANES2024TimeSeries_20250808,140016,2,,1,,1,4,1,4,7,1,2,1,1,1,1,2,70,1,3,2,2,3,0,2,1,2,1,3,3,1,1,,,,,,,,,,,,2,2,2,1,2,1,2,1,1,0,100,,,0,100,15,50,40,15,50,50,70,60,50,30,40,100,100,85,90,50,0,100,0,100,50,4,1,1,4,1,3,1,3,2,3,3,2,7,2,4,2,4,3,4,2,1,1,10,3,4,3,2,2,3,40,50,50,0,50,1,NV,0,1,0,0,0,1,1,0,0,0
ANES2024TimeSeries_20250808,140017,2,,1,3,2,6,2,4,3,2,2,3,1,4,4,2,58,1,4,3,2,1,0,1,1,2,1,6,2,1,3,0,0,0,0,1,0,0,0,0,0,0,2,2,2,1,2,1,1,2,1,60,0,,30,70,30,70,30,60,60,70,30,50,30,85,40,70,40,0,70,50,50,50,15,60,40,50,2,4,3,3,3,2,1,2,2,3,3,1,6,1,2,1,4,2,1,2,2,1,5,3,3,3,2,4,2,100,60,60,60,60,2,MA,1,0,0,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140018,2,,1,3,3,6,2,7,1,,4,2,1,7,4,2,59,1,4,3,1,1,2,1,1,2,1,5,1,1,2,0,1,0,0,0,1,0,0,1,1,0,2,2,2,1,2,1,1,2,1,70,0,,30,75,5,52,15,65,60,50,40,35,40,85,55,50,50,10,85,85,85,70,25,70,60,65,4,3,2,2,2,2,1,2,3,3,3,1,4,4,2,1,1,3,2,2,1,1,8,3,2,2,1,3,2,65,70,70,60,70,2,NH,1,0,0,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140019,2,,1,3,3,6,3,6,2,2,3,4,1,6,4,1,66,1,4,3,2,1,0,1,2,2,1,4,2,1,1,0,0,0,1,1,1,1,0,0,0,0,2,2,2,2,2,1,1,2,1,85,15,,15,85,15,70,15,40,70,60,30,30,30,50,30,50,85,30,50,70,50,60,0,85,50,85,4,2,1,2,2,2,1,3,2,4,2,1,6,1,2,1,1,1,4,2,1,2,8,3,2,2,1,3,1,85,50,50,15,,2,NV,1,0,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140021,2,,2,6,1,6,1,6,7,1,1,1,2,2,2,2,35,5,4,3,2,3,0,2,1,2,1,5,3,3,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,,3,6,0,100,,,0,100,0,85,50,25,40,50,85,50,70,50,50,85,100,85,90,15,25,85,60,100,100,2,1,2,3,4,4,1,2,2,4,3,2,6,2,4,2,6,3,7,3,3,2,7,2,3,3,2,2,4,50,50,50,0,75,1,PA,,,0,0,0,1,1,0,0,0
ANES2024TimeSeries_20250808,140023,2,,1,,4,7,3,6,3,3,1,3,1,4,6,2,28,5,5,3,1,1,0,1,1,2,3,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,1,1,1,30,0,,15,80,0,20,0,50,40,75,0,15,10,50,10,50,35,0,50,10,50,30,0,10,45,60,3,3,1,1,3,3,1,1,1,4,2,2,4,1,1,2,4,1,1,1,3,1,4,4,3,3,2,4,3,50,50,50,50,50,2,NY,1,0,0,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140026,2,,1,2,2,6,2,7,1,2,2,4,1,6,6,2,77,1,4,2,2,1,0,2,1,2,1,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,85,0,,40,80,0,75,40,60,60,70,40,45,30,50,50,50,50,10,50,65,50,50,40,60,50,85,2,4,3,2,3,2,1,2,2,3,3,2,4,1,1,1,4,2,4,2,2,2,7,2,2,2,1,3,2,55,60,50,50,50,2,GA,1,0,0,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140027,2,,1,6,2,6,2,6,7,1,1,7,1,4,1,2,76,2,2,3,2,1,0,1,2,2,1,,1,1,1,0,0,0,1,0,0,0,0,1,1,0,2,2,2,2,2,1,2,1,1,30,100,50,,60,100,50,100,50,50,85,60,100,85,30,85,0,100,85,100,85,30,85,100,85,85,85,2,1,1,1,3,1,1,2,3,3,3,2,7,1,1,1,4,4,4,2,1,2,9,2,2,2,2,1,3,85,75,85,0,85,2,NC,0,1,1,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140028,2,,1,5,2,7,2,6,6,1,4,2,1,4,4,2,54,1,4,3,2,1,0,1,1,2,1,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,1,1,2,71,40,,24,80,1,50,60,40,55,35,45,50,60,35,60,55,40,60,70,50,40,50,55,75,50,3,1,1,3,3,3,2,2,2,2,3,2,4,2,2,1,2,2,2,3,2,2,8,3,3,3,3,3,3,70,70,70,15,70,2,VA,0,1,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140029,2,,1,5,2,,2,,5,,2,2,1,4,4,2,70,1,5,2,2,1,0,1,1,2,1,5,1,1,2,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,1,1,1,1,1,70,0,,10,60,10,70,40,70,50,85,45,40,30,50,15,50,50,10,50,40,50,70,10,60,50,65,4,2,3,1,1,1,1,3,2,5,2,1,2,1,1,1,1,2,4,1,4,1,8,3,2,2,1,3,2,50,50,,40,50,2,NY,1,0,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140030,2,,1,,4,2,4,2,2,2,4,4,1,7,6,2,45,1,2,3,2,3,2,2,1,2,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,,2,1,85,0,,,,0,50,,85,50,50,50,,,85,50,85,50,50,85,35,90,85,50,50,50,85,3,3,2,3,3,5,3,1,1,4,4,2,2,4,4,1,1,3,2,4,3,2,3,4,4,4,4,4,4,75,75,75,70,75,2,AZ,,,0,1,0,0,1,0,0,0
ANES2024TimeSeries_20250808,140032,2,,2,4,1,1,1,1,5,3,3,1,2,1,4,2,49,3,2,3,2,1,2,2,1,2,1,5,1,1,2,,,,,,,,,,,,2,2,2,2,2,0,,3,6,0,50,,,0,50,0,0,50,0,50,50,0,0,50,0,50,50,50,50,0,50,0,50,0,50,50,4,5,5,5,1,5,5,1,1,5,1,5,4,7,7,7,7,3,4,1,5,1,0,4,4,3,2,4,4,50,50,50,30,50,1,CO,,,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140033,2,,1,2,2,7,2,7,1,2,4,5,1,1,7,2,50,5,5,3,2,1,0,1,2,2,1,2,2,1,1,0,1,0,0,1,1,0,0,0,0,0,2,1,2,1,2,1,1,2,1,85,0,,50,70,15,85,0,60,70,60,15,15,15,70,30,40,30,0,70,40,70,60,0,70,60,85,4,2,2,1,3,1,1,4,4,4,2,1,4,1,1,1,1,3,2,1,1,1,9,2,2,2,1,2,2,40,85,85,15,85,2,ID,1,0,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140034,2,,1,6,1,6,2,6,7,1,4,1,2,1,1,2,70,1,4,3,2,1,0,2,1,2,1,5,2,1,4,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,1,1,0,100,0,,0,100,0,60,30,0,40,60,100,70,50,60,15,85,100,100,85,30,0,100,30,100,30,1,1,1,5,2,4,1,2,2,5,2,2,7,1,6,4,7,2,6,2,1,1,8,3,3,3,3,3,4,70,70,70,,70,2,WI,0,1,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140035,2,,1,3,2,7,2,7,3,2,1,4,1,7,7,1,64,3,5,3,2,1,0,1,2,2,1,5,1,1,4,,,,,,,,,,,,2,2,2,2,2,1,1,1,1,80,0,,50,90,10,80,50,50,50,70,20,50,40,50,30,50,50,0,50,70,50,50,10,90,90,90,4,3,3,1,1,1,1,1,2,4,3,1,4,1,1,1,1,1,1,2,1,1,8,3,3,2,1,3,2,50,50,50,40,50,2,NY,1,0,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140037,2,,1,,4,1,4,1,2,2,2,2,1,4,6,1,75,1,3,3,2,2,0,1,2,2,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,100,50,,50,50,50,100,70,100,60,60,75,50,70,40,70,70,100,50,85,60,70,70,15,70,50,85,3,1,1,1,1,1,1,2,2,2,2,1,4,4,4,1,1,1,4,2,3,3,7,2,2,2,2,2,3,50,50,100,50,70,2,IL,1,0,1,1,0,0,0,0,1,0
ANES2024TimeSeries_20250808,140038,2,,1,2,3,6,3,6,2,1,1,7,1,6,7,2,32,5,5,3,1,1,0,1,2,2,3,4,1,1,6,,,,,,,,,,,,2,1,1,1,2,1,1,2,1,40,0,,50,70,0,20,0,100,50,100,0,20,10,100,10,100,40,0,100,0,100,100,10,0,80,100,3,5,1,1,3,2,1,1,2,4,4,1,3,3,1,2,2,1,3,1,2,1,8,3,3,2,1,4,3,100,100,100,100,100,2,OH,1,0,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140039,2,,1,1,2,7,2,6,1,,1,7,1,7,7,2,77,1,5,3,2,1,0,1,2,2,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,1,1,1,100,0,,0,100,0,100,0,85,85,85,15,15,15,85,40,70,15,0,70,15,85,100,0,50,50,100,4,3,1,1,1,1,1,2,2,5,1,1,2,1,1,1,1,3,1,1,2,1,8,3,2,2,1,2,1,,85,85,85,70,2,AR,1,0,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140040,2,,1,6,1,5,1,5,6,1,2,1,1,6,1,1,78,1,4,2,2,1,0,1,1,2,1,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,1,1,0,100,0,,15,100,0,70,50,30,60,60,85,85,50,70,50,70,85,100,70,50,0,70,40,70,15,3,2,2,4,3,4,4,3,4,5,2,2,6,4,6,4,6,2,4,1,3,3,5,2,2,2,2,2,3,85,85,85,30,85,2,GA,0,1,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140041,,,1,6,2,6,2,6,7,1,4,1,1,4,2,1,41,1,4,3,2,1,1,1,2,2,1,5,1,1,2,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,1,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140043,2,,1,7,1,6,1,4,7,1,5,1,2,1,1,2,52,3,5,3,2,1,0,1,1,2,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2,1,0,100,25,,0,100,0,50,0,0,0,80,95,95,50,10,50,51,100,50,99,50,0,65,15,100,0,4,1,1,4,2,5,1,1,2,4,2,2,5,5,6,3,7,2,7,1,1,1,6,3,3,3,1,2,4,50,75,50,25,50,1,NM,0,1,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140044,2,,1,6,1,7,6,6,7,1,7,1,1,7,1,2,57,1,4,3,2,1,0,1,2,2,1,5,5,1,4,1,1,0,0,0,0,1,0,0,0,0,2,2,1,1,1,1,2,2,1,0,85,0,,60,60,0,40,50,30,0,100,70,70,50,60,50,50,70,50,75,50,50,100,60,85,100,4,1,1,4,1,1,3,2,2,3,3,3,7,1,4,1,4,1,4,2,1,1,8,2,2,2,3,2,4,,50,50,0,50,1,KS,0,1,1,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140046,2,,1,6,1,7,1,6,7,2,5,2,3,6,5,2,,1,1,2,2,1,2,1,1,2,1,1,3,4,4,,,,,,,,,,,,2,2,2,2,2,1,2,1,1,0,100,70,,70,75,0,50,10,10,10,80,85,60,50,60,50,50,100,50,85,10,10,100,60,100,50,3,1,1,4,1,5,1,3,3,3,3,2,5,6,4,2,7,4,6,2,2,3,1,3,3,3,2,3,4,50,50,50,1,50,1,MO,0,1,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140048,2,,1,3,3,5,2,5,3,,2,4,1,4,5,2,42,1,4,3,2,1,2,1,1,2,1,6,1,1,4,,,,,,,,,,,,2,2,2,2,2,1,1,1,1,70,15,,,90,25,70,35,55,50,50,50,35,40,55,45,40,45,15,45,60,55,50,25,55,40,60,2,4,3,1,3,3,2,3,3,4,3,1,4,2,1,3,3,1,4,2,2,1,8,3,2,2,1,3,2,60,65,45,60,60,2,MN,1,0,0,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140049,2,,1,,2,6,1,6,7,1,7,4,2,7,1,1,46,5,4,3,1,4,0,1,2,2,1,4,3,1,2,,,,,,,,,,,,2,1,2,1,2,1,2,1,1,10,90,15,,50,95,25,50,50,40,85,60,50,75,50,75,50,95,50,90,75,50,50,50,80,50,25,4,2,1,3,4,2,3,2,4,2,4,4,2,4,2,1,4,1,4,3,5,2,4,3,3,2,2,3,2,85,85,85,10,,1,CA,0,1,1,0,0,1,0,0,0,1
ANES2024TimeSeries_20250808,140050,2,,1,5,4,7,4,7,3,1,4,4,1,7,4,2,74,1,5,3,2,1,0,1,1,2,1,5,1,1,3,0,0,0,1,0,1,0,0,0,1,1,2,1,2,2,2,1,1,1,1,70,0,,40,60,85,85,40,70,50,50,70,50,70,60,60,50,70,15,85,85,60,60,40,85,70,85,3,2,3,1,1,1,1,4,4,5,2,1,4,1,2,1,1,2,2,2,1,2,8,1,2,1,1,2,1,70,70,70,60,70,2,MO,1,0,0,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140052,2,,1,4,4,7,3,7,1,,1,6,1,6,7,1,,5,5,3,2,2,,,2,2,1,,2,1,1,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,1,1,1,1,1,100,0,,30,100,0,90,0,90,85,85,30,0,15,90,40,85,55,0,85,40,90,85,0,50,60,100,4,2,3,2,1,1,1,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,10,3,2,3,1,3,2,85,85,90,70,55,2,VA,1,0,1,1,0,0,0,0,1,0
ANES2024TimeSeries_20250808,140053,2,,1,1,5,1,4,7,3,,4,4,3,4,4,2,66,5,2,3,2,6,2,1,1,2,1,1,5,5,4,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,70,70,70,,30,30,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,2,2,2,2,2,2,2,2,2,2,2,2,5,6,4,4,3,4,3,5,5,5,4,2,4,4,3,4,50,50,50,50,50,1,KY,0,1,0,1,0,0,0,0,0,0
ANES2024TimeSeries_20250808,140054,2,,1,,1,6,1,5,5,1,4,1,2,1,2,1,,1,3,3,2,1,1,1,2,2,1,,3,1,2,,,,,,,,,,,,2,2,2,2,2,1,2,1,1,0,95,0,,0,75,0,85,0,0,50,50,75,85,50,20,50,75,50,100,95,50,0,50,15,85,0,4,1,1,3,4,4,1,2,1,5,2,3,5,4,7,4,4,4,4,2,1,1,8,2,3,2,3,3,4,50,,50,100,50,1,PA,0,1,1,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140055,2,,1,3,2,7,3,6,1,1,3,1,1,4,2,1,69,3,5,3,2,1,0,2,2,2,1,3,2,1,2,0,0,0,1,0,1,0,0,1,0,0,2,2,2,1,2,1,1,1,1,60,0,,40,65,0,60,75,85,75,70,20,50,40,50,60,40,90,0,50,70,25,50,35,60,85,40,3,3,1,2,2,2,1,1,2,2,3,1,6,1,1,1,1,1,6,2,1,2,5,3,3,3,1,3,2,50,50,,40,50,2,GA,1,0,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140056,2,,1,4,2,6,3,7,3,3,2,4,1,3,4,1,50,5,5,3,1,1,0,1,1,2,1,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,1,2,1,70,25,,30,70,15,70,50,70,70,70,70,60,35,85,60,,60,20,95,85,80,40,30,85,40,85,1,2,2,2,2,2,1,2,4,5,1,1,4,1,2,1,1,1,2,1,3,1,8,3,2,2,1,3,2,90,85,70,30,75,2,NY,1,0,0,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140057,2,,1,3,2,4,4,4,5,1,4,1,3,6,4,1,52,1,2,3,2,1,0,2,1,2,3,1,3,3,1,,,,,,,,,,,,2,2,2,2,2,1,1,1,1,,50,,60,40,50,60,50,50,50,40,50,60,50,30,50,40,60,50,50,60,0,60,60,60,50,50,3,1,2,3,2,3,3,2,1,2,3,2,5,4,4,2,4,4,4,3,3,3,4,3,3,3,3,3,3,50,50,40,50,50,2,OH,1,0,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140058,2,,1,7,1,6,2,6,5,1,4,1,4,2,2,2,59,1,2,2,2,1,0,2,1,2,1,4,2,1,2,1,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,1,2,1,1,60,85,60,,50,85,70,85,60,60,60,50,70,60,70,70,70,85,85,70,85,,50,70,,70,50,3,1,1,2,2,3,2,2,3,3,2,2,4,2,2,4,4,4,4,2,1,1,8,2,3,2,2,2,3,70,60,60,15,70,1,TX,0,1,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140060,2,,1,4,2,7,2,7,2,,1,1,1,7,7,2,42,1,5,3,2,1,0,2,2,2,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,2,1,85,0,,50,0,50,70,,70,50,50,50,15,30,100,30,70,40,0,70,70,70,70,50,70,70,70,3,3,1,1,2,3,4,1,1,2,3,4,2,1,1,1,1,2,3,3,2,3,7,2,3,2,2,3,4,70,70,,50,70,2,MT,1,0,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140061,2,,1,1,2,7,2,7,1,2,2,1,1,7,7,1,,1,5,3,2,1,0,1,1,2,1,5,1,1,2,0,1,0,0,0,0,0,0,0,0,1,2,2,1,1,2,1,1,1,1,85,0,,15,,2,85,15,85,85,70,50,15,15,70,60,85,,15,85,60,60,70,15,70,60,85,4,2,2,2,2,1,1,2,2,3,1,1,2,1,1,1,1,2,4,1,4,3,7,3,2,2,1,2,2,85,85,85,70,85,2,TN,1,0,0,1,0,0,0,1,0,0
